gate,name,required_before_torque_publish,current_status,evidence
G0,Stage 8 frozen Python baseline valid,True,True,results/logs_sample/stage08_freeze_integrity_check_summary.csv
G1,Stage 9 interface mirror frozen,True,True,results/logs_sample/stage09_0_6_interface_mirror_freeze_summary.csv
G2,C++ controller source has no torque publisher,True,True,ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
G3,C++ controller source has no publish call,True,True,ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
G4,Explicit manual enable flag design exists,True,True,docs/STAGE10_TORQUE_PUBLISHER_ENABLE_GATE_DESIGN.md
G5,Torque clamp and watchdog utility implemented,True,True,ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
G6,Zero torque dry-run regression completed,True,True,results/logs_sample/stage10_zero_torque_dry_run_internal_validation_summary.csv
G7,Python frozen baseline A/B regression still passes,True,True,results/logs_sample/stage08_adapter_backed_stage07_baseline_ab_test_summary.csv
G8,Manual enable flags active at runtime,True,False,parameters remain default false in Stage 11.1
G9,Publisher path exists,True,False,guard confirms not implemented in Stage 11.1
G10,Disabled controller uses clamp/watchdog internally,True,True,ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
G11,Manual enable parameters exist and default false,True,True,results/logs_sample/stage11_publisher_path_source_guard_param_stdout.txt
G12,Publisher path skeleton plan exists,True,True,results/logs_sample/stage11_publisher_path_skeleton_plan.csv
G13,Publisher-path source guard passed before implementation,True,True,results/logs_sample/stage11_publisher_path_source_guard_log.csv
